area,bedrooms,bathrooms,location,price
1875,5,5,Chennai,8301737
1616,5,5,Chennai,7453888
937,3,2,Pune,4329093
1478,1,1,Pune,6034970
1676,5,4,Hyderabad,8063549
4593,5,5,Mumbai,34035105
979,5,4,Ahmedabad,4380587
1092,4,5,Kolkata,5032334
2662,5,5,Delhi,16602197
4484,1,2,Delhi,24866611
664,5,5,Delhi,5334120
3168,1,2,Jaipur,9621464
2627,5,5,Bangalore,14595016
3295,1,1,Mumbai,23375960
2095,3,2,Delhi,12424689
991,5,5,Ahmedabad,4648413
4161,1,1,Mumbai,29530526
2878,4,3,Hyderabad,12976684
3699,4,4,Mumbai,27070619
800,3,2,Pune,3957855
3704,2,2,Pune,14853579
3054,4,4,Jaipur,10096476
4245,5,5,Mumbai,31711656
1404,3,4,Chennai,6407175
3331,1,1,Chennai,12235944
3373,1,2,Ahmedabad,10751076
2170,1,1,Mumbai,15579434
3290,1,1,Ahmedabad,10487731
4440,5,5,Jaipur,14421657
1628,4,5,Jaipur,6178503
1102,1,1,Bangalore,5796177
1470,5,4,Delhi,9660388
806,3,3,Pune,4228538
2084,5,4,Pune,9688889
1463,3,2,Bangalore,8472944
3390,4,3,Kolkata,11799278
1163,1,1,Ahmedabad,3657534
4791,2,1,Mumbai,33999117
2357,3,2,Mumbai,17278152
2278,2,2,Jaipur,7191625
3842,5,5,Jaipur,12685251
1659,5,5,Bangalore,9750625
2322,2,1,Chennai,8464089
3914,4,5,Hyderabad,17311625
3757,1,1,Chennai,13551015
3225,5,5,Chennai,13071789
3329,2,2,Chennai,12542534
2197,2,1,Bangalore,11680663
3660,3,4,Ahmedabad,12073277
3293,2,3,Pune,13080978
4227,2,2,Delhi,24193251
1963,3,2,Kolkata,6889621
2581,3,2,Ahmedabad,8357338
2263,5,4,Delhi,13752261
2129,4,3,Hyderabad,9561392
2638,5,4,Chennai,10633064
3902,4,4,Pune,15971902
2837,1,1,Chennai,10483391
1906,3,2,Hyderabad,8519535
4629,5,5,Kolkata,16363032
3275,3,2,Pune,13056325
1882,3,3,Hyderabad,8782069
1309,4,5,Mumbai,10824558
4348,2,1,Delhi,24335272
1263,2,3,Mumbai,9687585
2598,3,2,Hyderabad,11201971
4045,5,5,Kolkata,14441340
4343,5,5,Delhi,25491999
2095,4,5,Bangalore,11929156
3904,1,2,Hyderabad,16036237
4363,5,4,Jaipur,13833542
2453,1,1,Delhi,13991679
1891,3,2,Hyderabad,8540255
4181,4,3,Hyderabad,18188707
4057,4,4,Kolkata,14450484
2236,3,2,Mumbai,16512870
4296,3,4,Mumbai,31257411
3599,1,1,Delhi,20214391
3752,5,4,Delhi,22375762
1298,5,5,Mumbai,10885672
2760,2,3,Hyderabad,11852315
4697,1,1,Pune,18367103
1454,4,5,Bangalore,9041067
4074,1,1,Pune,15930864
2307,1,1,Chennai,8128872
3377,3,3,Hyderabad,14426255
2333,3,3,Delhi,13949282
4110,3,3,Delhi,23693639
802,3,4,Kolkata,3831568
3855,3,2,Delhi,22225400
4818,1,2,Bangalore,24612635
1366,3,4,Hyderabad,6752594
4989,5,5,Hyderabad,21594684
2927,5,5,Delhi,17690309
3531,2,1,Hyderabad,14745028
797,5,4,Delhi,5709824
2530,2,1,Jaipur,7846731
4182,5,5,Hyderabad,18205905
1208,4,4,Jaipur,4546202
3872,2,1,Mumbai,27444374
1747,1,1,Jaipur,5481622
4882,3,3,Delhi,27609087
3997,2,2,Kolkata,13203697
3111,5,4,Pune,13250548
2394,1,1,Kolkata,7944357
1259,5,4,Ahmedabad,5461664
3411,1,1,Delhi,19381515
1969,5,4,Chennai,8269217
2586,3,3,Jaipur,8132992
746,4,4,Pune,4191879
3819,5,5,Hyderabad,16827961
3511,5,4,Chennai,14042022
2334,2,3,Hyderabad,9991352
2443,3,2,Delhi,14101676
1088,1,2,Chennai,4280982
3576,2,3,Ahmedabad,11820428
2559,3,2,Mumbai,18870547
2985,3,3,Jaipur,9603947
3519,2,2,Jaipur,10770943
2402,1,1,Chennai,8636675
4661,4,4,Pune,18818704
3969,2,1,Kolkata,13520100
862,5,5,Kolkata,4463220
1223,4,5,Chennai,5808596
1616,1,1,Ahmedabad,5012239
4243,1,1,Ahmedabad,12919738
2649,2,1,Bangalore,13823813
4323,2,2,Chennai,15693641
3708,4,3,Mumbai,27169458
4690,4,5,Chennai,17811660
2656,5,5,Mumbai,20358792
3770,5,5,Delhi,22314966
2282,5,4,Kolkata,8605843
2855,4,4,Hyderabad,12845282
1754,3,2,Kolkata,6719377
3791,4,5,Jaipur,12376958
2296,5,5,Chennai,10068497
4591,3,4,Jaipur,14295393
2248,5,4,Jaipur,7879286
2045,3,3,Ahmedabad,7333226
4799,1,2,Jaipur,13757287
4523,4,4,Pune,18315978
853,1,2,Hyderabad,4021767
3783,2,3,Jaipur,11478410
3157,1,1,Ahmedabad,9780410
698,1,1,Kolkata,2858627
2800,2,3,Jaipur,8648228
3561,4,3,Mumbai,26165480
4377,5,5,Mumbai,32457617
3469,4,5,Kolkata,12862872
3834,5,5,Bangalore,20865135
4391,2,1,Ahmedabad,13678341
1556,3,2,Delhi,9689620
4667,2,2,Chennai,16905337
760,4,5,Ahmedabad,3734632
1900,3,2,Kolkata,6919270
4587,2,2,Delhi,26108654
2127,4,5,Pune,9606290
1818,3,2,Mumbai,13802866
3704,4,3,Kolkata,13350576
3335,2,2,Hyderabad,14105771
1554,1,2,Mumbai,11378807
4046,1,1,Kolkata,13438912
1645,2,2,Delhi,9817238
2293,5,4,Jaipur,8204219
4036,4,5,Bangalore,21998508
1162,2,3,Pune,5136573
3085,1,1,Ahmedabad,9402065
3954,4,3,Ahmedabad,13366925
825,5,5,Pune,4729398
1559,1,1,Ahmedabad,5104950
3667,3,2,Delhi,20997756
1415,5,5,Chennai,6438925
3720,4,3,Jaipur,11849301
616,1,2,Hyderabad,3140940
1843,4,4,Ahmedabad,6928055
2805,1,1,Hyderabad,11392072
3124,1,2,Jaipur,9158766
1669,3,4,Kolkata,6681466
4044,3,4,Pune,16277348
3165,1,2,Bangalore,16128681
1660,3,2,Hyderabad,7765289
2927,3,2,Delhi,16832856
4020,5,4,Kolkata,14546994
901,3,2,Pune,4139533
4876,5,5,Kolkata,17123490
1206,2,3,Jaipur,4198592
3770,5,4,Hyderabad,16927549
1299,5,4,Jaipur,4974258
1739,1,1,Jaipur,5504452
790,2,2,Hyderabad,3800712
2900,2,1,Jaipur,8760882
1580,4,3,Kolkata,6543010
3575,2,3,Mumbai,25906299
1784,4,3,Chennai,7345547
3927,4,4,Delhi,23208422
3994,5,5,Chennai,15453557
727,5,4,Hyderabad,4495500
2665,1,1,Kolkata,8889672
2416,1,2,Bangalore,12601754
1169,3,3,Kolkata,4679584
2495,4,4,Bangalore,13862432
3333,3,3,Bangalore,17877350
4463,1,1,Hyderabad,18428683
4614,2,1,Chennai,16881874
3501,3,3,Delhi,20069374
2286,1,2,Delhi,13337387
3609,5,5,Jaipur,11666150
754,4,5,Chennai,4017193
3137,3,3,Delhi,18178227
2009,1,1,Bangalore,10495616
4657,3,2,Kolkata,15563671
1384,3,3,Jaipur,5129050
3775,1,1,Pune,14416427
4941,1,2,Bangalore,25325617
3406,4,3,Hyderabad,15008290
1137,3,2,Bangalore,6371158
2441,2,2,Kolkata,8386500
3055,3,4,Kolkata,10912055
1124,5,5,Ahmedabad,5251564
3550,1,2,Hyderabad,14594198
4731,5,5,Pune,19616307
4715,5,4,Delhi,27693473
2968,3,3,Hyderabad,12723485
4447,3,4,Delhi,25664638
3301,3,3,Ahmedabad,10680065
1571,3,3,Delhi,9962659
1766,4,4,Ahmedabad,6516131
3374,5,5,Kolkata,12688317
2582,2,2,Pune,10564282
1453,4,3,Pune,6820543
4746,5,5,Kolkata,17128787
4336,1,2,Ahmedabad,13626607
4369,3,4,Delhi,24961168
1174,3,3,Jaipur,4624933
3861,3,4,Mumbai,28207000
1748,5,5,Mumbai,14212026
2315,1,2,Ahmedabad,7593598
4454,1,2,Hyderabad,18491175
3091,4,4,Hyderabad,13524802
3260,4,5,Ahmedabad,11392369
3724,5,4,Mumbai,27610340
3651,4,5,Delhi,21920957
604,4,3,Mumbai,5251445
1476,3,4,Hyderabad,7198064
1591,4,5,Pune,7594577
4742,4,4,Pune,19303025
4964,4,5,Ahmedabad,16179539
1235,5,4,Pune,6344019
2293,4,5,Jaipur,8091852
2282,2,1,Kolkata,7619658
719,2,3,Pune,3827588
1430,4,5,Hyderabad,7279902
4275,2,2,Chennai,15583525
1969,3,3,Delhi,11691895
1340,5,5,Bangalore,8279093
716,4,3,Chennai,3492357
3438,2,2,Pune,14059103
1750,3,3,Ahmedabad,6097154
2531,3,4,Kolkata,9205074
1612,4,4,Delhi,10001762
2264,3,4,Delhi,13518353
1681,3,4,Kolkata,6731509
1112,4,3,Hyderabad,5828981
3449,2,3,Ahmedabad,11302393
1159,1,1,Mumbai,8320872
4272,5,4,Pune,17691832
3943,4,4,Kolkata,13892162
4670,2,3,Bangalore,24057906
2070,3,4,Bangalore,11537996
1180,1,2,Kolkata,4448036
2894,3,3,Ahmedabad,9996948
3747,1,1,Delhi,21132867
4849,1,2,Pune,18899117
2279,2,1,Kolkata,7746857
4106,4,3,Pune,16665079
3344,2,3,Mumbai,24230873
3956,4,5,Kolkata,14231253
4645,2,3,Delhi,26527639
1843,1,1,Pune,7520456
3718,2,3,Mumbai,27173113
2741,5,5,Hyderabad,12825483
3659,4,4,Pune,15033906
3559,4,3,Kolkata,12805256
2865,2,2,Delhi,16537868
3079,1,1,Jaipur,9225201
2235,1,1,Mumbai,16256706
2357,3,4,Pune,10357983
2670,2,3,Pune,11247380
3449,3,2,Ahmedabad,11417606
3851,1,2,Pune,14868002
4330,3,3,Ahmedabad,14101570
3089,4,4,Bangalore,16826704
2231,4,3,Pune,9591783
3416,5,4,Pune,14843553
1615,4,4,Delhi,10170161
1948,5,5,Jaipur,7300504
3687,1,2,Hyderabad,15069293
3439,5,5,Delhi,20709488
935,2,3,Ahmedabad,3647937
1495,2,1,Bangalore,8055254
4146,4,5,Pune,17465550
1451,5,4,Hyderabad,7528742
2287,2,3,Chennai,8962983
2531,5,4,Delhi,15744994
4346,1,1,Jaipur,12326581
3027,3,2,Ahmedabad,9705020
2168,2,3,Mumbai,15999571
4600,5,5,Mumbai,33791264
3338,2,3,Hyderabad,13924789
4098,2,1,Kolkata,13629859
4513,1,1,Kolkata,14575960
1666,2,2,Kolkata,5876614
4980,3,4,Mumbai,35825106
3044,2,2,Chennai,11650569
4707,1,1,Mumbai,33216306
3973,4,3,Ahmedabad,13162029
4569,1,1,Ahmedabad,13761499
3146,1,1,Hyderabad,13079337
1353,5,5,Mumbai,11313077
2682,5,4,Ahmedabad,9501316
3374,4,4,Pune,14072472
3496,3,3,Bangalore,18468768
4785,2,2,Bangalore,24463120
1375,1,1,Pune,5754761
2225,4,3,Mumbai,16966582
3669,3,4,Mumbai,26976918
1017,2,1,Hyderabad,4351685
714,5,4,Ahmedabad,3805681
1216,4,5,Jaipur,4785732
4574,1,1,Pune,17927393
3867,4,5,Mumbai,28362549
1425,2,2,Jaipur,4756900
2116,1,1,Delhi,11717580
3746,1,1,Chennai,13532332
1012,3,4,Pune,5009055
1328,1,1,Kolkata,4829217
3948,2,2,Kolkata,13588670
3408,2,3,Ahmedabad,11222877
1275,2,2,Pune,5259431
4065,1,1,Kolkata,13551870
3104,5,5,Jaipur,10552906
3567,4,4,Hyderabad,15482678
3386,2,2,Bangalore,17616080
1722,3,3,Kolkata,6374794
4679,3,4,Kolkata,15889395
2171,1,2,Bangalore,11450614
2743,1,2,Mumbai,19792839
2287,3,3,Mumbai,17297145
4732,1,1,Mumbai,33764942
4451,3,2,Ahmedabad,14071668
4040,4,3,Jaipur,12514208
4366,5,5,Jaipur,14056778
2926,2,3,Mumbai,21127153
3514,4,3,Kolkata,12258356
4552,1,2,Delhi,25610812
1195,4,5,Bangalore,7291250
1328,5,4,Pune,6778288
1965,3,2,Ahmedabad,6915987
1298,3,2,Delhi,7782095
995,3,2,Pune,4704403
4771,1,1,Delhi,26662188
4960,5,4,Jaipur,15238533
3102,5,5,Delhi,18621426
2419,1,1,Pune,9415019
1317,2,3,Chennai,5512912
3382,3,3,Pune,14063937
4177,4,5,Pune,17625367
743,4,3,Kolkata,3512170
3740,4,3,Pune,15730117
3538,2,2,Hyderabad,15138187
4236,1,1,Delhi,23530957
3822,1,1,Jaipur,11098308
1767,3,4,Delhi,11207241
3216,2,3,Bangalore,17157332
1662,4,5,Chennai,7242798
2756,1,1,Hyderabad,11366998
3582,2,2,Mumbai,25732839
3894,5,4,Mumbai,29067864
1756,2,2,Pune,7141211
1332,3,4,Mumbai,10662872
4930,4,4,Delhi,28764988
1553,1,1,Bangalore,8264781
3139,1,1,Delhi,17714574
3924,5,5,Bangalore,21374851
3901,5,5,Kolkata,14104051
2142,5,5,Delhi,13502584
1791,3,4,Jaipur,6348737
3593,4,5,Chennai,14078981
3281,5,5,Chennai,13083794
1817,4,3,Mumbai,14061044
2140,4,3,Jaipur,7118236
3836,5,5,Ahmedabad,13353361
2986,4,4,Delhi,17981539
4319,1,1,Hyderabad,17755541
1988,4,4,Pune,8903988
2456,4,4,Chennai,9837010
1965,1,1,Delhi,11109515
1099,1,1,Hyderabad,4642684
2280,2,3,Bangalore,11962964
1110,2,2,Hyderabad,4927095
4912,5,5,Mumbai,36022191
1924,3,2,Chennai,7876658
1755,4,4,Delhi,11167123
2427,4,3,Delhi,14845508
3741,3,3,Ahmedabad,12233555
4086,5,5,Mumbai,30148232
2410,4,4,Delhi,14877601
3523,2,3,Chennai,12960423
2814,4,4,Kolkata,10226129
4786,1,1,Jaipur,13910245
1313,4,5,Pune,6720181
4202,4,5,Delhi,24535768
4734,1,2,Hyderabad,19506050
4122,2,2,Chennai,15004643
4868,1,1,Hyderabad,19811691
1843,3,3,Chennai,7237768
4309,2,3,Delhi,24404038
1681,4,5,Hyderabad,8063961
1055,1,1,Mumbai,7639578
1494,1,2,Hyderabad,6247966
1984,2,3,Bangalore,10775644
2558,1,1,Mumbai,18517585
3672,3,4,Delhi,21479976
2596,5,5,Chennai,10795117
4885,4,5,Kolkata,17178000
1104,3,4,Kolkata,4447691
1814,1,1,Jaipur,5362034
2131,5,4,Ahmedabad,7858579
4040,4,5,Mumbai,30038442
1423,3,4,Mumbai,11424684
1528,2,2,Chennai,5811588
733,4,3,Ahmedabad,3312198
2705,2,3,Kolkata,9244465
4227,4,3,Delhi,24626756
2452,1,1,Jaipur,7152797
4775,3,2,Mumbai,34408231
3533,4,5,Hyderabad,15818634
3884,2,1,Mumbai,27883434
4898,4,4,Kolkata,17289240
3411,4,3,Chennai,12971560
1850,4,3,Pune,7992134
4112,1,2,Kolkata,13622897
1856,3,2,Jaipur,5983467
3976,5,5,Mumbai,29286164
4086,4,4,Chennai,15864128
4184,4,4,Pune,17236919
1996,1,2,Jaipur,6084896
4237,2,2,Bangalore,21733313
3930,5,4,Jaipur,12445543
3303,5,5,Hyderabad,15058147
1070,5,5,Jaipur,4755848
1953,1,1,Delhi,11117820
3383,5,4,Jaipur,11222260
3431,2,2,Ahmedabad,10984140
957,3,2,Mumbai,7400633
3619,5,5,Ahmedabad,12620082
1267,4,3,Jaipur,4518691
1745,2,1,Pune,7167430
4785,2,2,Ahmedabad,14989029
4319,5,5,Mumbai,31707601
3345,4,4,Jaipur,10490211
1139,2,2,Bangalore,6637946
3379,1,1,Mumbai,23889936
4736,5,4,Ahmedabad,15575431
4375,4,3,Kolkata,15183667
3108,3,3,Mumbai,22549920
3379,2,2,Kolkata,11578137
1524,3,3,Hyderabad,7060759
3556,4,4,Chennai,13554804
2181,1,1,Pune,8908765
3924,4,4,Hyderabad,16808918
855,3,2,Bangalore,5240823
2438,4,5,Jaipur,8079968
2544,4,4,Pune,11152119
609,2,2,Ahmedabad,2641257
3471,4,5,Jaipur,11314187
1397,1,1,Hyderabad,5752692
1615,2,1,Hyderabad,7025496
2424,1,1,Bangalore,12689657
3736,3,4,Jaipur,11948183
2793,4,3,Bangalore,15141308
823,5,5,Jaipur,4055171
4758,4,4,Mumbai,34783338
4525,5,4,Kolkata,16185873
4600,2,2,Bangalore,23426910
2233,3,3,Mumbai,16896325
2752,5,4,Hyderabad,12586584
1110,4,5,Delhi,7937514
984,4,3,Chennai,4478160
1004,4,5,Hyderabad,5459439
2600,3,2,Hyderabad,11243263
3356,5,4,Kolkata,12165093
2268,5,4,Mumbai,17198447
2060,3,2,Ahmedabad,7379698
4236,1,1,Jaipur,12056513
3324,2,1,Delhi,18751479
4778,3,2,Chennai,17568203
2648,4,5,Bangalore,14508804
4746,1,2,Hyderabad,19256437
1316,5,4,Mumbai,10762579
2423,2,3,Chennai,9327945
2681,4,3,Ahmedabad,9354213
4019,4,3,Delhi,23447933
2174,4,5,Ahmedabad,8114975
849,3,3,Hyderabad,4705867
1273,5,5,Delhi,8850931
2765,1,1,Bangalore,13901611
1370,2,3,Bangalore,7702927
4562,4,4,Bangalore,24194260
4963,3,2,Jaipur,14918852
2584,3,4,Kolkata,9291891
1677,2,1,Pune,7159327
835,1,1,Bangalore,4508615
988,3,2,Kolkata,4077028
3637,3,4,Pune,14863928
2448,5,5,Ahmedabad,9310142
3414,5,4,Mumbai,25654229
3974,1,1,Jaipur,11639941
3878,2,3,Delhi,22461732
1852,4,4,Chennai,7880405
4581,3,3,Chennai,17100833
2722,4,5,Pune,11787192
2750,4,5,Kolkata,10355549
1929,4,3,Hyderabad,8790826
1958,1,2,Mumbai,14420106
3082,2,3,Delhi,17590832
2617,2,1,Bangalore,13596187
1931,5,5,Delhi,12438622
4944,4,5,Mumbai,35952934
4861,4,4,Ahmedabad,15887292
1958,3,4,Bangalore,10721599
3777,1,1,Delhi,21420588
2728,4,3,Mumbai,20621994
2780,1,2,Chennai,10233641
737,5,5,Jaipur,3891635
4072,1,2,Mumbai,29303161
3432,2,1,Bangalore,17528745
4179,1,2,Mumbai,29741429
3631,4,5,Pune,15123128
4764,4,4,Ahmedabad,15700676
3193,4,3,Bangalore,17319768
4900,4,3,Pune,20156430
4418,1,1,Kolkata,14649749
4738,4,3,Hyderabad,20085352
4423,2,3,Ahmedabad,14351433
4642,3,3,Ahmedabad,15242907
2506,4,3,Mumbai,18855480
1360,5,4,Mumbai,11040302
4045,3,2,Bangalore,21103222
1499,1,2,Jaipur,4749402
3547,2,3,Bangalore,18851384
2319,2,2,Delhi,13414427
880,5,4,Delhi,6416482
3866,4,3,Kolkata,13633308
2487,5,5,Jaipur,8733798
3866,4,4,Jaipur,11933633
1266,4,3,Bangalore,7763482
4788,2,2,Hyderabad,19580739
1271,2,2,Mumbai,9810813
2569,4,5,Kolkata,9499017
4756,2,3,Chennai,17223182
3722,2,2,Ahmedabad,11591169
4500,2,3,Jaipur,13549945
1123,4,3,Hyderabad,5530863
2993,4,5,Delhi,17801557
3717,3,4,Delhi,21416952
3193,2,1,Ahmedabad,10106139
2568,4,4,Kolkata,9380169
2353,2,3,Hyderabad,10324721
2896,3,3,Hyderabad,12377397
2861,3,3,Pune,12173131
2886,1,1,Chennai,10739024
4802,4,5,Ahmedabad,15819993
3478,3,2,Mumbai,25223126
4743,4,3,Bangalore,24680214
4244,4,5,Kolkata,15110705
2655,2,2,Chennai,9996089
1876,4,5,Kolkata,7506119
3366,2,3,Jaipur,10029285
902,2,2,Kolkata,3323407
1238,2,1,Pune,5394165
655,5,4,Bangalore,4996554
1125,4,5,Pune,5707829
4723,3,2,Hyderabad,19778326
2725,4,4,Mumbai,20668904
3887,1,2,Ahmedabad,12093447
964,4,4,Chennai,4644406
2246,5,5,Mumbai,17421841
1518,1,2,Bangalore,7908922
3397,1,2,Mumbai,24208553
2131,2,3,Chennai,8432359
3945,3,2,Bangalore,20536368
2506,1,1,Ahmedabad,8123010
3686,5,5,Pune,15947062
2675,3,3,Hyderabad,11469930
1313,4,3,Pune,6256577
1662,5,5,Delhi,10603196
2576,3,3,Jaipur,8542241
1896,5,5,Pune,8747312
725,1,1,Hyderabad,3435873
4196,2,1,Ahmedabad,12934745
3883,2,2,Delhi,22237205
2203,3,4,Bangalore,12018131
666,2,3,Hyderabad,3558849
832,1,1,Bangalore,4468024
2756,5,5,Pune,12017697
1769,2,3,Bangalore,9977762
2758,1,2,Mumbai,19846422
4806,5,5,Pune,19979963
2093,1,2,Mumbai,14853174
4607,3,3,Chennai,17144674
3072,5,5,Pune,13511194
3260,5,4,Mumbai,24154895
3339,1,1,Hyderabad,13984253
2361,2,2,Ahmedabad,7532232
4114,3,3,Pune,16606442
2575,2,1,Jaipur,8023695
2962,4,5,Bangalore,16569659
1476,3,2,Ahmedabad,5189691
4412,3,2,Jaipur,13460272
4048,1,1,Ahmedabad,12614004
1912,1,2,Pune,7827000
2060,3,2,Pune,8764092
3309,3,4,Mumbai,24229390
2924,5,4,Kolkata,10709584
2333,2,3,Jaipur,7307873
2205,1,2,Mumbai,15768095
3163,5,4,Pune,13519114
4021,4,4,Kolkata,14259151
4117,3,2,Hyderabad,17446302
2997,1,1,Mumbai,21425307
4335,3,2,Kolkata,14887333
3470,5,4,Kolkata,12563826
1760,3,3,Chennai,7139736
842,3,2,Ahmedabad,3493515
3190,5,4,Chennai,12745557
1663,2,3,Pune,7154438
4924,5,5,Jaipur,15816198
3195,3,4,Kolkata,11635349
1519,2,2,Delhi,9250878
605,5,4,Jaipur,3466318
1067,5,5,Mumbai,8985839
4770,1,1,Ahmedabad,14657045
603,5,4,Pune,3839855
1245,3,3,Hyderabad,6235426
717,1,1,Chennai,2657062
3528,2,2,Delhi,20361398
3151,1,1,Ahmedabad,9674180
4889,4,4,Chennai,18501842
1446,2,2,Chennai,5601561
3362,4,4,Bangalore,18068797
1741,3,4,Chennai,7027110
2410,2,2,Bangalore,12557141
1323,2,3,Mumbai,10142393
824,1,1,Jaipur,2709522
4808,4,4,Mumbai,34893967
2648,4,5,Kolkata,9842637
2173,1,2,Kolkata,7598329
2428,1,1,Jaipur,7312024
2517,1,1,Chennai,9033759
4834,1,2,Mumbai,34079241
2626,5,4,Pune,11285384
4344,1,2,Chennai,15813593
1501,1,2,Delhi,8559030
2639,1,1,Ahmedabad,8510235
609,5,5,Kolkata,3696075
860,3,3,Delhi,6030310
2273,3,4,Delhi,13595016
2819,1,1,Pune,11285861
2660,2,2,Hyderabad,11234736
4313,5,4,Hyderabad,18682914
2219,1,1,Hyderabad,9220022
920,5,4,Bangalore,6437159
1942,5,5,Chennai,8353429
2976,3,3,Bangalore,16095483
3432,4,3,Pune,14020626
3424,4,5,Kolkata,12720516
2594,4,4,Kolkata,9878072
3558,1,2,Jaipur,10330168
2638,4,4,Jaipur,8667175
4090,1,2,Chennai,14709613
4277,2,3,Ahmedabad,13650589
1718,3,4,Delhi,10376593
2204,2,3,Kolkata,8060066
4627,1,2,Kolkata,15090745
835,2,3,Kolkata,3479514
2569,4,5,Mumbai,19273014
2508,2,1,Chennai,9280299
975,5,4,Bangalore,6287714
4130,5,5,Mumbai,30490088
3235,3,3,Bangalore,17455945
2170,2,1,Bangalore,11566198
3160,1,2,Ahmedabad,9840429
3991,3,2,Ahmedabad,12805409
3565,4,5,Delhi,20969288
4243,4,5,Delhi,24807411
4450,5,4,Kolkata,16014572
1472,3,3,Delhi,9352825
1852,4,4,Jaipur,6783609
1914,2,3,Mumbai,14446414
3498,3,3,Chennai,13099312
677,2,2,Bangalore,4328125
3221,2,3,Kolkata,11276146
4827,2,1,Jaipur,14110700
1200,3,2,Mumbai,9344323
1665,3,4,Kolkata,6256588
2736,5,5,Delhi,16634552
3049,3,4,Kolkata,10781108
2943,1,1,Kolkata,9931122
2463,3,2,Ahmedabad,8406580
1918,5,5,Chennai,8325720
4197,3,3,Kolkata,14566363
4362,1,1,Kolkata,14108581
2790,3,4,Chennai,10739750
1592,5,5,Pune,8086139
3312,1,2,Pune,13019239
2792,5,5,Kolkata,10638981
1848,4,5,Hyderabad,9170224
3654,2,1,Pune,14212818
4633,5,5,Delhi,27485513
2597,4,5,Bangalore,14792997
4287,3,2,Hyderabad,18324620
2751,1,2,Mumbai,19914732
4618,5,4,Jaipur,14721647
3710,1,1,Ahmedabad,11690350
2570,4,3,Ahmedabad,9118210
797,5,5,Kolkata,4237829
3226,3,2,Ahmedabad,10466201
1802,3,3,Kolkata,7051870
2635,3,2,Pune,10677857
1077,2,3,Ahmedabad,4026793
1854,3,3,Jaipur,5961178
1522,2,3,Mumbai,11719633
1019,5,4,Hyderabad,5847839
2804,5,4,Ahmedabad,10272411
3197,4,5,Bangalore,17447891
1720,4,3,Chennai,7303603
3668,1,1,Pune,14521570
1550,5,5,Delhi,10148996
2936,1,1,Kolkata,9465598
2843,4,5,Ahmedabad,10054332
3245,1,1,Pune,12513901
2457,4,5,Mumbai,18747849
2465,2,2,Ahmedabad,7848456
3512,4,3,Hyderabad,15275548
3453,5,4,Jaipur,11088503
3828,5,5,Mumbai,28801741
4319,2,2,Mumbai,31218856
3828,2,2,Ahmedabad,12336386
2971,4,4,Hyderabad,13352815
3491,5,5,Bangalore,19006481
4356,4,3,Pune,18024068
4825,4,4,Mumbai,35455082
694,2,3,Jaipur,2550209
3274,4,3,Mumbai,23914727
2555,4,4,Pune,10816372
1393,2,3,Kolkata,5353125
2434,2,1,Delhi,13797398
2716,3,4,Bangalore,14849078
4706,4,3,Hyderabad,20144767
3925,3,3,Delhi,22855380
3519,2,2,Kolkata,11760887
3197,5,4,Jaipur,10702274
3805,3,2,Hyderabad,16048578
1414,1,1,Bangalore,7153128
